,id,popularity,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,63MvWd6T6yoS7h4AJ4Hjrm,58,0.978,5,-1.266,0,0.0955,0.289,0.00254,0.346,0.8,129.999,212741,4
1,5SBFE8l79rSAcFLyqtZW1X,57,0.78,9,-6.287,0,0.177,0.0091,0.0482,0.113,0.634,124.995,134400,4
2,5uaIbU3oHHcSOK6WFNK5nj,59,0.618,11,-8.552,0,0.124,0.0187,0.000115,0.181,0.513,95.054,140463,4
3,4wc8pPkSIxAirW2FNGp6Pd,36,0.911,2,-2.561,1,0.136,0.0277,0.0,0.388,0.463,135.023,196138,4
4,4FeczSomVWVyU4FW7xDeAI,65,0.7,2,-7.663,1,0.0375,0.278,0.000155,0.068,0.867,144.033,309640,4
5,5x72Q1SyiDHJ4IF2mRzfkg,63,0.95,5,-3.604,0,0.0759,0.191,1.41e-05,0.0969,0.746,126.013,174711,4
6,00NksXMaWtsTARuoZmt0GJ,51,0.94,7,-1.883,1,0.0728,0.0195,0.000518,0.0933,0.406,100.036,196301,4
7,7fKywVasHSlshJQpkN2atd,49,0.617,11,-12.748,0,0.116,0.00502,0.0,0.0558,0.159,107.999,185000,4
8,5cjVsWqIkBQC7acTRhL0RO,62,0.666,4,-4.847,0,0.0554,0.143,2.81e-06,0.237,0.763,96.987,187983,4
9,3jyqXdAjwqO3gFtjnYrbq9,54,0.604,10,-7.576,1,0.054,0.757,0.0,0.322,0.41,173.915,155172,4
10,2AjGLmuZK1fu21n1IpB9RU,51,0.559,1,-7.907,1,0.0722,0.0212,0.000689,0.205,0.207,105.957,235944,4
11,5G1H1Im43gBwssOH8XlnNU,40,0.846,2,-4.451,1,0.0435,0.0454,9.14e-05,0.374,0.885,123.966,178847,4
12,0CVyBitslO34Pe2KjzS2nS,37,0.827,1,-4.278,0,0.0815,0.0656,1.56e-05,0.138,0.609,104.986,201542,4
13,1D7zHxAdQtU7Nl65EG9cnc,0,0.615,5,-6.877,0,0.0428,0.668,0.0,0.15,0.845,180.632,288480,3
14,39ujbBjTwwqUFySaCYDMMT,67,0.824,1,-6.491,0,0.0851,0.485,0.0,0.318,0.49,172.006,178605,4
15,5doYtCoJ8KpfkFczP3F2ad,47,0.716,7,-6.582,0,0.051,0.612,0.0,0.11,0.593,122.977,337360,4
16,5MnAi6ZF7cE8pAz7wYr9Ta,66,0.64,2,-8.726,1,0.025,0.565,0.00139,0.127,0.485,105.012,260537,4
17,0k2modGW9JkPeVZSYQvWhz,46,0.887,1,-5.017,1,0.1,0.0335,0.000168,0.0604,0.423,102.028,186602,4
18,6qCNaRRr5xJALfNJvh0NAw,65,0.827,11,-4.219,0,0.0627,0.159,0.0,0.226,0.498,104.032,238530,4
19,31xUIiUCZxruoNhour84BR,36,0.72,9,-8.62,1,0.0788,0.266,0.0,0.0495,0.523,145.01,320475,4
