,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0,0.451,0.449,0,-6.702,0,0.0293,0.261,0.0,0.143,0.217,149.768,3MVPReTwLNOBFb6KjiIRNM
1,0.473,0.401,4,-7.018,0,0.0241,0.629,1.17e-05,0.154,0.345,90.076,6E9UwSfT80age2xknoMS7Y
2,0.528,0.449,5,-6.25,0,0.025,0.785,0.0,0.122,0.317,94.058,56zZ48jdyY2oDXHVnwg5Di
3,0.572,0.541,5,-6.45,1,0.0245,0.759,0.0,0.111,0.266,87.01,1OEmd2iXU8pWG7CrKNpGUg
4,0.659,0.665,8,-8.181,0,0.0266,0.456,0.000486,0.0898,0.692,93.012,1ocYa8PoVd5e2vPn0xHJcA
5,0.519,0.463,6,-8.88,0,0.0264,0.327,0.0,0.106,0.224,94.965,1uwCYPAgiy5d7lPJvf0gf8
6,0.394,0.641,0,-6.493,0,0.0312,0.276,0.0,0.0958,0.335,81.932,5PvwPy5eRO8BPwpRzCHK3D
7,0.729,0.52,5,-6.586,0,0.0258,0.562,0.000893,0.101,0.458,114.973,3thIARBf9vzQXQYuaOf8Wd
8,0.401,0.553,5,-8.263,0,0.0337,0.47,2.96e-06,0.124,0.364,79.144,0loZn1c5heXie7OAtvK6nH
9,0.534,0.481,0,-9.016,0,0.0412,0.697,0.0,0.142,0.293,124.914,5O932cZmzOZGOGZz9RHx20
10,0.427,0.396,11,-7.556,1,0.0366,0.736,0.0,0.11,0.306,70.368,2Fv2injs4qAm8mJBGaxVKU
11,0.515,0.691,5,-4.028,0,0.0344,0.624,0.0,0.121,0.484,169.521,5QVHNa0ppJUOoqSd36ovQS
12,0.495,0.654,3,-6.639,0,0.0679,0.713,0.0,0.165,0.35,123.896,79jYT83v4bMOWEgwjQxSx2
13,0.329,0.45,2,-6.312,0,0.0405,0.594,0.0,0.13,0.284,80.095,75p6BrziB5urmwPCeXl3y7
14,0.579,0.83,6,-4.859,0,0.0523,0.457,0.0,0.159,0.758,166.572,2plj6f8TqOF0YNuHd2VzJD
15,0.599,0.689,0,-5.668,0,0.0452,0.618,1.1e-05,0.119,0.537,86.927,2zT6KfK583MkcLIHLBO8De
16,0.636,0.745,2,-5.4,0,0.0378,0.155,2.54e-06,0.132,0.719,139.986,1HzNbxPRn9onoxxeZByHYJ
17,0.308,0.585,9,-5.18,0,0.0428,0.45,0.0,0.319,0.345,171.843,1feANd8EfcDP5UqSvbheM3
18,0.223,0.359,0,-7.569,1,0.0312,0.845,0.0,0.133,0.193,73.059,3HiobOOpSpMsi95WBKPBYk
19,0.38,0.691,2,-4.855,0,0.0534,0.0406,0.0,0.148,0.566,64.106,39h7Ye6CM0kcTDvCp64ipH
20,0.657,0.489,1,-6.829,0,0.0306,0.713,0.0,0.124,0.399,116.0,4eFnk661RcdOuH9ajiTO3j
21,0.499,0.48,1,-6.45,1,0.0415,0.619,0.0,0.319,0.577,99.886,7kiZ6Zf66oX6yMovt3gC1a
22,0.607,0.593,4,-7.982,0,0.0378,0.2,0.0,0.0833,0.211,107.988,4roFMBSQp7W4fYVxKMmhA5
23,0.483,0.781,4,-5.926,1,0.0445,0.349,0.0,0.126,0.801,83.782,6YYVzVapUF3UnZQ0igasl3
24,0.39,0.56,11,-7.582,0,0.0388,0.835,2.05e-06,0.0818,0.133,132.746,5idLPeSNiGxd08bckqwLur
25,0.704,0.733,0,-9.415,1,0.0467,0.0777,0.166,0.107,0.634,115.173,0NgB1rGvQK2iIMVEc88Kfl
26,0.394,0.592,10,-6.398,1,0.203,0.847,0.0,0.125,0.401,81.098,0KCELNf5it4kL3LGwR80cj
27,0.625,0.598,7,-6.6,0,0.0373,0.616,0.0,0.299,0.5,90.078,1L3Nsi7YXtBxTdnbqektia
28,0.568,0.55,11,-6.172,0,0.0262,0.728,3.62e-05,0.251,0.436,110.079,2wJ9d1Gfj8OqcznPAroqvh
29,0.585,0.759,0,-4.029,0,0.047,0.385,0.0,0.162,0.512,139.986,4faUCG0CdNgMx0NkMMseOl
30,0.679,0.622,4,-8.514,0,0.0328,0.272,6.52e-05,0.106,0.483,98.028,6sfVSlvCl5evgokuWNrHbE
31,0.602,0.819,2,-5.43,0,0.0929,0.468,0.0,0.1,0.429,82.027,2Cy0T0n18rleVVr2O5BIWA
32,0.527,0.525,1,-8.106,1,0.0337,0.876,1.41e-05,0.172,0.257,99.638,35P2Xal9x3GAdOHytyEUFe
33,0.581,0.71,7,-4.961,0,0.0374,0.395,0.0,0.137,0.755,111.969,3XWBGyt7m2rZAjEj0awWnw
34,0.6,0.684,5,-6.179,0,0.0257,0.342,1.53e-05,0.115,0.241,103.951,6q1QIBUfxyZJhygVIiG6c9
35,0.549,0.437,10,-7.169,0,0.0263,0.766,0.000407,0.133,0.236,93.976,06zJUeKU5KFy50Cho6pDcr
